NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),1.1: Is the format proprietary?,1.2: Does the format have a published open specification?,"1.3: If there is a published specification, has it been approved and published by an internationally recognized standards organization?","1.4: When was the format specification for this version last updated (or, if the last updated date is not available, when was it created)?",1: TOTAL Disclosure Score,2.1: Has the file format commonly been used to create or maintain permanent records within the federal government at any point in time?,"2.2: Is the format, or format family, actively maintained and updated by an organization or community?",2.3: Have the archives or library communities identified the format as one to avoid for creation and transfer of permanent materials?,2: TOTAL Adoption Score,"3.1: Is the format character-based, rather than binary?",3.2: Is there an internal signature in an authoritative format registry that can be used to identify a file in this format?,3.3: Does the format require the use of compression?,"3.4: If the format requires the use of compression, can it be lossy?",3.5: Does this format support declared or hidden embedded data?,"3.6: If the format supports declared or hidden embedded data, does the format list or provide standard information about embedded data?",3: TOTAL Transparency Score,4.1: Does the format natively include metadata that documents the file and the technical environment used to create (and/or modify) it?,4.2: Does the format support adding embedded descriptive and administrative metadata through manual or automated processes?,4: TOTAL Self-Documentation Score,"5.1: Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","5.2: Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",5: TOTAL External Hardware Dependencies Score,6.1: Are renderers available?,"6.2: If renderers are available, is at least one of them open source?","6.3: Does the format rely on plug-ins and/or scripts, etc. to render or execute files?",6.4: Can the format be rendered or executed in more than one computing operating system?,6.5: Is there software supported by current computing environments that can create the format?,6: TOTAL External Software Dependencies Score,7.1: Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,7.2: Does the format have open source license terms?,7: TOTAL Impact of Patents Score,8.1: Does the format require the use of encryption?,"8.2: If the format requires the use of encryption, is it robust (cryptographically secure)?",8.3: Does the format natively allow the use of technical protection measures (e.g. digital rights management)?,8: TOTAL Technical Protection Mechanisms Score,TOTAL Numeric Risk Rating,Risk Level,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,Feasibility Score,NARA TOTAL
,,12.00,Moderate Risk,NF00668,Adobe Illustrator 1.0/1.1,ai,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,-2,-1,-4,2,-2,0,2,0,2,4,12.00,Moderate Risk,0.000,-5,3,10.00
,,21.00,Moderate Risk,NF00823,Adobe Illustrator 10.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,1,0,-1,1,2,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
,,21.00,Moderate Risk,NF00824,Adobe Illustrator 11.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,1,0,-1,1,2,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
,,21.00,Moderate Risk,NF00825,Adobe Illustrator 12.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,1,0,-1,1,2,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
,,21.00,Moderate Risk,NF00826,Adobe Illustrator 13.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,1,0,-1,1,2,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
,,21.00,Moderate Risk,NF00827,Adobe Illustrator 14.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,1,0,-1,1,2,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
,,21.00,Moderate Risk,NF00669,Adobe Illustrator 3.0/3.2,ai,Digital Design and Vector Graphics,-1,2,-1,-4,0,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,2,1,2,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
,,15.00,Moderate Risk,NF00670,Adobe Illustrator 4.0,ai,Digital Design and Vector Graphics,-1,2,-1,-4,0,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,-2,-1,-4,2,-2,0,2,0,2,4,15.00,Moderate Risk,0.000,-5,3,13.00
,,19.00,Moderate Risk,NF00671,Adobe Illustrator 5.0/5.5,ai,Digital Design and Vector Graphics,-1,2,-1,-4,0,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,2,-1,0,2,-2,0,2,0,2,4,19.00,Moderate Risk,0.000,-5,3,17.00
,,15.00,Moderate Risk,NF00672,Adobe Illustrator 6.0,ai|pdf,Digital Design and Vector Graphics,-1,2,-1,-4,0,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,-2,-1,-4,2,-2,0,2,0,2,4,15.00,Moderate Risk,0.000,-5,3,13.00
,,19.00,Moderate Risk,NF00673,Adobe Illustrator 7.0,ai|pdf,Digital Design and Vector Graphics,-1,2,-1,-4,0,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,2,-1,0,2,-2,0,2,0,2,4,19.00,Moderate Risk,0.000,-5,3,17.00
,,18.00,Moderate Risk,NF00674,Adobe Illustrator 8.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,1,2,1,0,1,0,5,2,1,3,2,2,4,2,1,-4,2,1,2,2,-2,0,2,0,2,4,18.00,Moderate Risk,0.000,-5,3,16.00
,,21.00,Moderate Risk,NF00675,Adobe Illustrator 9.0,ai|pdf,Digital Design and Vector Graphics,-1,-2,0,-4,-3,0,2,1,3,-1,2,1,0,-1,1,2,2,1,3,2,2,4,2,1,2,2,1,8,2,-2,0,2,0,2,4,21.00,Moderate Risk,0.000,-5,3,19.00
